Project ID,Project Town/City,Project ZIP Code,Electricity Utility Name,Natural Gas Utility Name,Audit Completed Date,NYSERDA Clean Energy Fund (CEF) Funding Amount (dollars),Georeference
381,Canton,13617,National Grid,,6/30/2017,2500,POINT (-75.16983 44.59994)
11,Mooers,12958,NYS Electric and Gas,,6/30/2016,2500,POINT (-73.58543 44.96041)
369,Waddington,13694,National Grid,,6/29/2017,2500,POINT (-75.20182 44.86345)
323,North Lawrence,12967,National Grid,,6/29/2017,2500,POINT (-74.67763 44.80472)
355,Poestenkill,12140,National Grid,,6/28/2017,2500,POINT (-73.56809 42.68283)
378,Darien Center,14040,National Grid,,6/28/2017,2500,POINT (-78.38899 42.90073)
736,Penn Yan,14527,NYS Electric and Gas,,6/27/2018,2500,POINT (-77.062296 42.662294)
630,Elmira,14901,NYS Electric and Gas,,6/27/2018,2500,POINT (-76.765553 42.080995)
616,Gabriels,12983,National Grid,,6/27/2018,2500,POINT (-74.17663 44.43074)
265,Barker,14012,National Grid,,6/27/2017,2500,POINT (-78.55259 43.33009)
181,Elmira,14901,NYS Electric and Gas,,6/27/2017,2500,POINT (-76.765553 42.080995)
349,Plattsburgh,12901,NYS Electric and Gas,,6/27/2017,2500,POINT (-73.45303 44.69913)
948,Skaneateles,13152,National Grid,,6/26/2019,5200,POINT (-76.42754 42.94564)
996,Central Bridge,12035,National Grid,,6/26/2019,2500,POINT (-74.33618 42.71438)
970,Honeoye Falls,14472,National Grid,,6/25/2019,2500,POINT (-77.59084 42.95282)
945,Franklin,13775,NYS Electric and Gas,,6/25/2019,2500,POINT (-75.16705 42.34168)
995,Canastota,13032,National Grid,,6/25/2019,6000,POINT (-75.75489 43.08027)
617,Chazy,12921,NYS Electric and Gas,,6/25/2018,5045,POINT (-73.43552 44.88589)
598,McDonough,13801,NYS Electric and Gas,,6/24/2018,2500,POINT (-75.76947 42.49839)
915,Glenville,12302,National Grid,,6/23/2019,4868,POINT (-73.9324 42.86907)
1305,Sharon Springs,13459,National Grid,,6/22/2021,2500,POINT (-74.61722 42.79531)
1314,Geneseo,14454,National Grid,,6/22/2021,2040,POINT (-77.81721 42.79364)
336,Schuylerville,12871,National Grid,,6/22/2017,2500,POINT (-73.58145 43.09961)
104,Fabius,13063,National Grid,,6/22/2017,2133,POINT (-75.98716 42.83497)
243,Delhi,13753,NYS Electric and Gas,,6/2/2017,2492,POINT (-74.92022 42.27484)
358,Argyle,12809,National Grid,,6/21/2017,2500,POINT (-73.49067 43.23541)
270,Springville,14141,NYS Electric and Gas,,6/21/2017,2006,POINT (-78.66726 42.50866)
176,North Java,14113,NYS Electric and Gas,,6/21/2017,5207,POINT (-78.33763 42.69403)
141,Utica,13502,National Grid,,6/21/2017,2500,POINT (-75.24245 43.10124)
838,Cincinnatus,13040,NYS Electric and Gas,,6/20/2018,2500,POINT (-75.89576 42.54157)
845,West Eameston,13485,NYS Electric and Gas,,6/20/2018,2500,POINT (-75.27863 42.76337)
629,Watkins Glen,14891,NYS Electric and Gas,,6/20/2018,2500,POINT (-76.93086 42.374999)
310,Mount Upton,13809,NYS Electric and Gas,,6/20/2017,2227,POINT (-75.396249 42.407791)
366,Cherry Creek,14723,NYS Electric and Gas,,6/20/2017,2500,POINT (-79.09198 42.29336)
12,Berkshire,13736,NYS Electric and Gas,,6/20/2016,2500,POINT (-76.19603 42.316603)
779,Owego,13827,NYS Electric and Gas,,6/19/2018,2500,POINT (-76.252877 42.111474)
350,Fonda,12068,National Grid,,6/19/2017,2496,POINT (-74.3745 42.95452)
413,Greene,13778,NYS Electric and Gas,,6/19/2017,150,POINT (-75.77401 42.33178)
21,Neversink,12765,NYS Electric and Gas,,6/19/2016,1500,POINT (-74.615223 41.848701)
1269,Brooklyn,11222,Consolidated Edison,,6/18/2021,2500,POINT (-73.95241 40.72997)
1165,Rome,13440,National Grid,,6/18/2020,2500,POINT (-75.45336 43.21516)
972,Gasport,14067,National Grid,,6/18/2019,2500,POINT (-78.5731 43.19823)
796,South Otselic,13155,NYS Electric and Gas,,6/18/2018,2500,POINT (-75.78037 42.6472)
788,Sprakers,12166,National Grid,,6/18/2018,2500,POINT (-74.51427 42.89135)
632,Lisle,13797,NYS Electric and Gas,,6/18/2018,5035,POINT (-76.031586 42.337886)
742,Salem,12865,NYS Electric and Gas,,6/18/2018,2500,POINT (-73.32778 43.17432)
582,Westport,12993,NYS Electric and Gas,,6/18/2018,2500,POINT (-73.43526 44.18421)
83,Auburn,13021,NYS Electric and Gas,,6/18/2017,5000,POINT (-76.56591 42.92936)
1215,Fulton,13069,National Grid,,6/17/2021,2500,POINT (-76.41527 43.32201)
881,Shortsville,14548,Rochester Gas and Electric,,6/17/2019,2499,POINT (-77.24468 42.976557)
673,Keeseville,12944,NYS Electric and Gas,,6/17/2018,4675,POINT (-73.491231 44.471398)
781,Fort Covington,12937,National Grid,,6/17/2018,2500,POINT (-74.49412 44.98874)
291,Carthage,13619,National Grid,,6/15/2017,2500,POINT (-75.60618 43.98008)
74,Marcy,13403,National Grid,,6/15/2017,2500,POINT (-75.27464 43.14125)
294,Avon,14414,National Grid,,6/15/2017,2500,POINT (-77.74699 42.91257)
136,Goshen,10924,Orange and Rockland Utilities,,6/15/2017,2500,POINT (-74.343148 41.383219)
35,Locke,13092,NYS Electric and Gas,,6/15/2016,1500,POINT (-76.42596 42.650898)
619,Ellenburg Center,12934,NYS Electric and Gas,,6/14/2018,2500,POINT (-73.889006 44.84782)
578,Mannsville,13636,National Grid,,6/14/2018,2500,POINT (-76.06309 43.71363)
716,Sidney Center,13839,NYS Electric and Gas,,6/14/2018,2500,POINT (-75.256085 42.245845)
325,Wolcott,14590,Rochester Gas and Electric,,6/14/2017,2500,POINT (-76.828703 43.240455)
37,Vernon,13476,National Grid,,6/14/2016,1500,POINT (-75.53942 43.07951)
1302,Merrill,12955,NYS Electric and Gas,,6/13/2021,2334,POINT (-73.95946 44.76513)
208,Cazenovia,13035,National Grid,,6/13/2017,2500,POINT (-75.84845 42.9296)
348,Bainbridge,13733,NYS Electric and Gas,,6/13/2017,2500,POINT (-75.481703 42.309793)
327,Fort Covington,12937,National Grid,,6/12/2017,2500,POINT (-74.49412 44.98874)
5,LeRoy,14482,National Grid,,6/12/2017,2500,POINT (-77.99195 42.97768)
337,Groton,13073,NYS Electric and Gas,,6/12/2017,757,POINT (-76.36787 42.59064)
1285,Goshen,10924,Orange and Rockland Utilities,,6/1/2021,2500,POINT (-74.343148 41.383219)
202,Dryden,13053,NYS Electric and Gas,,6/1/2017,5998,POINT (-76.29598 42.49062)
10,Buskirk,12028,National Grid,,6/1/2016,2500,POINT (-73.43302 42.95796)
815,Highland,12528,Central Hudson Gas and Electric,,6/11/2018,3285,POINT (-73.991662 41.730554)
738,Preble,13141,National Grid,,6/11/2018,2500,POINT (-76.14677 42.73504)
819,Carlisle,12043,National Grid,,6/11/2018,2500,POINT (-74.44387 42.75687)
192,Canastota,13032,National Grid,,6/11/2017,2500,POINT (-75.75489 43.08027)
888,Germantown,12526,National Grid,,6/10/2019,2500,POINT (-73.88513 42.13311)
967,Dundee,14837,NYS Electric and Gas,,6/10/2019,2500,POINT (-77.010042 42.501328)
743,Herkimer,13350,National Grid,,6/10/2018,2500,POINT (-74.98433 43.0259)
222,Walworth,14568,NYS Electric and Gas,,5/9/2017,5530,POINT (-77.283425 43.141672)
249,Philadelphia,13673,National Grid,,5/9/2017,2500,POINT (-75.70751 44.15819)
1152,Essex,12936,NYS Electric and Gas,,5/8/2020,2500,POINT (-73.35138 44.30897)
992,Endicott,13760,NYS Electric and Gas,,5/8/2019,2500,POINT (-76.063761 42.119277)
784,Central Square,13036,National Grid,,5/8/2019,2500,POINT (-76.14623 43.28643)
708,Cassville,13318,National Grid,,5/8/2018,2492,POINT (-75.25531 42.94592)
724,Constableville,13325,National Grid,,5/8/2018,2500,POINT (-75.42977 43.56353)
299,Rome,13440,National Grid,,5/8/2017,2500,POINT (-75.45336 43.21516)
1064,Phelps,14532,NYS Electric and Gas,,5/7/2020,2500,POINT (-77.03072 42.963923)
963,Chittenango,13037,National Grid,,5/7/2019,2500,POINT (-75.8756 43.0438)
733,New Paltz,12561,Central Hudson Gas and Electric,,5/6/2018,2500,POINT (-74.07846 41.74611)
647,South Kortright,13842,NYS Electric and Gas,,5/6/2018,2500,POINT (-74.724579 42.380707)
491,East Syracuse,13057,National Grid,,5/6/2018,5996,POINT (-76.071 43.06468)
698,Rome,13440,National Grid,,5/6/2018,4170,POINT (-75.45336 43.21516)
677,Sharon Springs,13459,National Grid,,5/6/2018,2500,POINT (-74.61722 42.79531)
753,Attica,14011,National Grid,,5/6/2018,2500,POINT (-78.28106 42.86402)
835,Wallkill,12589,Central Hudson Gas and Electric,,5/5/2019,2500,POINT (-74.144403 41.619869)
942,Mt. Morris,14510,National Grid,,5/5/2019,2500,POINT (-77.8741 42.72573)
266,Pulaski,13142,National Grid,,5/5/2017,691,POINT (-76.12753 43.56682)
279,Atlanta,14808,NYS Electric and Gas,,5/4/2017,1500,POINT (-77.47228 42.55434)
652,Philadelphia,13673,National Grid,,5/3/2018,2500,POINT (-75.70751 44.15819)
678,Utica,13502,National Grid,,5/3/2018,2500,POINT (-75.24245 43.10124)
643,Halcott Center,12430,NYS Electric and Gas,,5/3/2018,4170,POINT (-74.49373 42.18714)
102,Trumansburg,14886,NYS Electric and Gas,,5/3/2017,2500,POINT (-76.681095 42.509918)
748,St. Johnsville,13452,National Grid,,5/31/2018,2500,POINT (-74.628407 43.030313)
599,Delancey,13752,NYS Electric and Gas,,5/31/2018,2500,POINT (-74.907834 42.166981)
633,Whitney Point,13862,NYS Electric and Gas,,5/31/2018,5455,POINT (-75.940895 42.330498)
649,Sidney Center,13839,NYS Electric and Gas,,5/31/2018,2500,POINT (-75.256085 42.245845)
301,Castorland,13620,National Grid,,5/31/2017,2500,POINT (-75.51238 43.88923)
830,Otisville,10963,Orange and Rockland Utilities,,5/30/2018,2500,POINT (-74.53762 41.467452)
842,Westtown,10969,Orange and Rockland Utilities,,5/30/2018,2500,POINT (-74.54127 41.33593)
308,Newark Valley,13811,NYS Electric and Gas,,5/30/2017,2500,POINT (-76.169095 42.23117)
597,Corfu,14036,National Grid,,5/29/2018,5063,POINT (-78.40587 42.96425)
828,Chester,10918,Orange and Rockland Utilities,,5/29/2018,2500,POINT (-74.259501 41.349912)
834,Pine Island,10969,Orange and Rockland Utilities,,5/29/2018,2500,POINT (-74.486965 41.292249)
246,Palatine Bridge,13428,National Grid,,5/29/2017,2500,POINT (-74.57371 42.91385)
832,Westown,10998,Orange and Rockland Utilities,,5/28/2018,2500,POINT (-74.54127 41.33593)
1136,Champlain,12919,NYS Electric and Gas,,5/27/2020,2500,POINT (-73.443786 44.96935)
298,Berne,12023,National Grid,,5/25/2017,2269,POINT (-74.14201 42.62536)
1308,Ogdensburg,13669,National Grid,,5/24/2021,2500,POINT (-75.48994 44.69424)
693,Clinton,13323,National Grid,,5/24/2018,2500,POINT (-75.37879 43.04824)
695,Clarence Center,14032,NYS Electric and Gas,,5/24/2018,2570,POINT (-78.63716 43.01309)
791,Cobleskill,12043,National Grid,,5/24/2018,2500,POINT (-74.48317 42.6782)
789,Pattersonville,12137,National Grid,,5/24/2018,2500,POINT (-74.07787 42.88896)
638,Akron,14001,National Grid,,5/24/2018,2500,POINT (-78.50198 43.02019)
816,Clintondale,12515,Central Hudson Gas and Electric,,5/24/2018,2500,POINT (-74.064032 41.680461)
831,Pine Island,10969,Orange and Rockland Utilities,,5/24/2018,2500,POINT (-74.486965 41.292249)
812,Groveland,14462,National Grid,,5/23/2018,4395,POINT (-77.76808 42.66293)
283,Ithaca,14850,NYS Electric and Gas,,5/23/2017,2500,POINT (-76.49546 42.44051)
317,Lafayette,13084,National Grid,,5/23/2017,2500,POINT (-76.10905 42.90087)
313,Cortland,13045,National Grid,,5/23/2017,1500,POINT (-76.17484 42.60348)
756,New Hartford,13413,National Grid,,5/22/2018,2500,POINT (-75.28704 43.07179)
636,Castorland,13620,National Grid,,5/22/2018,2500,POINT (-75.51238 43.88923)
804,Ballston Spa,12020,National Grid,,5/22/2018,2493,POINT (-73.85124 43.00242)
745,Norwich,13815,NYS Electric and Gas,,5/22/2018,2489,POINT (-75.535533 42.549221)
352,Kennedy,14747,NYS Electric and Gas,,5/22/2017,2319,POINT (-79.10155 42.15745)
334,Croghan,13327,National Grid,,5/22/2017,2500,POINT (-75.39118 43.89781)
715,Casterland,13620,National Grid,,5/2/2018,2500,POINT (-75.51238 43.88923)
242,Marathon,13803,NYS Electric and Gas,,5/2/2017,2500,POINT (-76.03513 42.44036)
307,Canastota,13032,National Grid,,5/2/2017,2500,POINT (-75.75489 43.08027)
207,Granville,12832,NYS Electric and Gas,,5/2/2017,2500,POINT (-73.26576 43.40466)
241,Angola,14006,National Grid,,5/2/2017,2500,POINT (-79.02881 42.63739)
966,Springville,14141,National Grid,,5/21/2019,2500,POINT (-78.66726 42.50866)
446,Waterville,13480,NYS Electric and Gas,,5/21/2019,2500,POINT (-75.366762 42.914366)
974,Poughkeepsie,12603,Central Hudson Gas and Electric,,5/21/2019,6000,POINT (-73.89913 41.69802)
631,Lisle,13797,NYS Electric and Gas,,5/21/2018,2500,POINT (-76.031586 42.337886)
798,McGraw,13101,National Grid,,5/21/2018,2500,POINT (-76.09323 42.59615)
364,North Bangor,12966,National Grid,,5/21/2018,2500,POINT (-74.40121 44.84202)
811,Wayland,14572,NYS Electric and Gas,,5/21/2018,2500,POINT (-77.575008 42.558919)
605,Boonville,13309,National Grid,,5/21/2018,2500,POINT (-75.33704 43.48297)
964,Lowville,13367,National Grid,,5/20/2019,2500,POINT (-75.49047 43.78695)
1163,Caledonia,14423,National Grid,,5/19/2020,5489,POINT (-77.8533 42.97389)
196,Carthage,13619,National Grid,,5/19/2017,2500,POINT (-75.60618 43.98008)
66,Wolcott,14590,Rochester Gas and Electric,,5/19/2017,6000,POINT (-76.828703 43.240455)
338,Essex,12936,NYS Electric and Gas,,5/19/2017,2500,POINT (-73.35138 44.30897)
2,Hannibal,13074,National Grid,,5/19/2016,2500,POINT (-76.58071 43.32133)
255,Lockport,14094,National Grid,,5/18/2017,2500,POINT (-78.69511 43.16926)
729,Adams,13605,National Grid,,5/17/2018,2500,POINT (-76.02364 43.81029)
333,Brooklyn,11206,Consolidated Edison,,5/17/2017,2500,POINT (-73.9399 40.708)
309,Munnsville,13409,National Grid,,5/17/2017,2488,POINT (-75.58523 42.97805)
697,Clintondale,12515,Central Hudson Gas and Electric,,5/16/2018,5985,POINT (-74.064032 41.680461)
740,Gansevort,12831,National Grid,,5/16/2018,2500,POINT (-73.65232 43.19646)
722,Burnt Hills,12027,National Grid,,5/16/2018,2500,POINT (-73.89571 42.91321)
624,Berkshire,13736,NYS Electric and Gas,,5/16/2018,2500,POINT (-76.19603 42.316603)
295,Saratoga Springs,12866,National Grid,,5/16/2017,2500,POINT (-73.78441 43.08412)
284,Lexington,12468,Central Hudson Gas and Electric,,5/15/2017,2500,POINT (-74.36141 42.2396)
227,Clymer,14724,National Grid,,5/15/2017,1457,POINT (-79.62799 42.02083)
932,Queensbury,12804,National Grid,,5/14/2019,5020,POINT (-73.67843 43.33318)
890,Fonda,12068,National Grid,,5/14/2019,2825,POINT (-74.3745 42.95452)
571,Chittenango,13037,National Grid,,5/14/2018,2500,POINT (-75.8756 43.0438)
744,Stanley,14561,NYS Electric and Gas,,5/14/2018,2500,POINT (-77.12893 42.822179)
303,Frankfort,13340,National Grid,,5/14/2017,2500,POINT (-75.07407 43.03638)
952,Syracuse,13215,National Grid,,5/13/2019,2500,POINT (-76.19579 43.01742)
764,Cobleskill,12043,National Grid,,5/13/2019,2500,POINT (-74.48317 42.6782)
934,Endicott,13760,NYS Electric and Gas,,5/13/2019,2500,POINT (-76.063761 42.119277)
854,Pine Bush,12566,Orange and Rockland Utilities,,5/13/2019,2500,POINT (-74.331639 41.624382)
907,Marcellus,13108,NYS Electric and Gas,,5/13/2019,2500,POINT (-76.34076 42.98247)
676,Owego,13827,NYS Electric and Gas,,5/13/2018,2500,POINT (-76.252877 42.111474)
634,Windsor,13865,NYS Electric and Gas,,5/13/2018,2500,POINT (-75.643747 42.065354)
51,Earlville,13332,NYS Electric and Gas,,5/12/2017,2500,POINT (-75.571537 42.759935)
280,Lagrangeville,12540,Central Hudson Gas and Electric,,5/1/2017,2500,POINT (-73.741004 41.661444)
125,LeRoy,14482,National Grid,,5/1/2017,2500,POINT (-77.99195 42.97768)
1133,Oswego,13126,National Grid,,5/11/2020,2500,POINT (-76.51119 43.45646)
300,Accord,12404,Central Hudson Gas and Electric,,5/11/2017,2500,POINT (-74.237173 41.820279)
237,Clifton Springs,14432,NYS Electric and Gas,,5/11/2017,2500,POINT (-77.143807 42.961921)
1091,Cohocton,14826,NYS Electric and Gas,,5/10/2020,2500,POINT (-77.496964 42.490952)
1101,Weedsport,13166,Rochester Gas and Electric,,5/10/2020,2500,POINT (-76.556267 43.065869)
257,Hampton,12837,National Grid,,5/10/2017,2500,POINT (-73.25366 43.52409)
517,Ontario,14519,Rochester Gas and Electric,,4/9/2018,616,POINT (-77.31201 43.230706)
620,Lisbon,13658,National Grid,,4/9/2018,2500,POINT (-75.31959 44.72815)
574,Whitney Point,13862,NYS Electric and Gas,,4/9/2018,2500,POINT (-75.940895 42.330498)
510,Warwick,10990,Orange and Rockland Utilities,,4/9/2018,2500,POINT (-74.365461 41.263165)
193,Guilford,13780,NYS Electric and Gas,,4/9/2017,2500,POINT (-75.483493 42.42155)
1150,Williamson,14589,Rochester Gas and Electric,,4/8/2020,3570,POINT (-77.175308 43.241518)
962,Greenwich,12834,National Grid,,4/7/2019,2500,POINT (-73.49696 43.08752)
233,Gouverneur,13642,National Grid,,4/7/2017,2500,POINT (-75.46717 44.33572)
79,Munnsville,13409,National Grid,,4/7/2017,2500,POINT (-75.58523 42.97805)
60,Jamesville,13078,National Grid,,4/7/2017,2500,POINT (-76.07025 42.9916)
278,Utica,13502,National Grid,,4/7/2017,2500,POINT (-75.24245 43.10124)
285,Walton,13856,NYS Electric and Gas,,4/6/2017,761,POINT (-75.164794 42.17512)
179,Troy,12180,National Grid,,4/6/2017,839,POINT (-73.68809 42.73449)
267,Penfield,14526,Rochester Gas and Electric,,4/6/2017,2488,POINT (-77.45526 43.145637)
260,Hamburg,14075,NYS Electric and Gas,,4/6/2017,2500,POINT (-78.83422 42.71624)
925,Patterson,12563,NYS Electric and Gas,,4/5/2019,2500,POINT (-73.584646 41.488946)
228,Granville,12832,NYS Electric and Gas,,4/5/2017,2500,POINT (-73.26576 43.40466)
902,Bath,14810,NYS Electric and Gas,,4/4/2019,2500,POINT (-77.31785 42.33799)
897,Phelps,14532,NYS Electric and Gas,,4/4/2019,3515,POINT (-77.03072 42.963923)
941,Branchport,14418,NYS Electric and Gas,,4/4/2019,2500,POINT (-77.21044 42.607043)
213,South Dayton,14138,NYS Electric and Gas,,4/4/2017,2500,POINT (-79.05105 42.36168)
100,St. Johnsville,13452,National Grid,,4/4/2017,2500,POINT (-74.628407 43.030313)
106,Bombay,12914,National Grid,,4/4/2017,6000,POINT (-74.56748 44.93854)
217,Fabius,13063,National Grid,,4/3/2017,2282,POINT (-75.98716 42.83497)
107,Homer,13077,National Grid,,4/3/2017,6000,POINT (-76.18838 42.64362)
112,Cortland,13045,National Grid,,4/3/2017,2468,POINT (-76.17484 42.60348)
1121,Memphis,13112,National Grid,,4/30/2020,2500,POINT (-76.37731 43.08348)
889,Cambridge,12816,National Grid,,4/30/2019,2580,POINT (-73.38418 43.02814)
968,St. Johnsville,13452,National Grid,,4/30/2019,2500,POINT (-74.628407 43.030313)
1114,Jasper,14855,NYS Electric and Gas,,4/29/2020,2500,POINT (-77.50328 42.12147)
1071,Truxton,13158,National Grid,,4/29/2020,2500,POINT (-76.02915 42.71195)
982,Newfield,14867,NYS Electric and Gas,,4/29/2019,2500,POINT (-76.607292 42.35201)
709,Sennett,13021,NYS Electric and Gas,,4/29/2018,1802,POINT (-76.56538 43.00101)
734,Altamont,12009,National Grid,,4/29/2018,2500,POINT (-74.0328 42.706)
662,Madison,13402,NYS Electric and Gas,,4/29/2018,2500,POINT (-75.50622 42.90094)
613,Pulaski,13142,National Grid,,4/29/2018,2500,POINT (-76.12753 43.56682)
721,Ogdensburg,13669,National Grid,,4/29/2018,2500,POINT (-75.48994 44.69424)
600,Portland,14769,National Grid,,4/29/2018,2500,POINT (-79.48654 42.36162)
1048,Milford,13807,NYS Electric and Gas,,4/28/2020,4080,POINT (-74.985575 42.610749)
1087,Whitney Point,13862,NYS Electric and Gas,,4/28/2020,2500,POINT (-75.940895 42.330498)
1102,Truxton,13158,National Grid,,4/28/2020,2500,POINT (-76.02915 42.71195)
1002,White Sulphur Springs,12787,NYS Electric and Gas,,4/28/2020,2500,POINT (-74.83184 41.80144)
1107,Skaneateles,13152,NYS Electric and Gas,,4/28/2020,2500,POINT (-76.42754 42.94564)
1099,Albion,14411,National Grid,,4/28/2020,4950,POINT (-78.19375 43.24607)
883,Attica,14011,NYS Electric and Gas,,4/28/2019,4421,POINT (-78.28106 42.86402)
189,Hudson Falls,12839,National Grid,,4/28/2017,2500,POINT (-73.58407 43.30447)
277,Amsterdam,12010,National Grid,,4/28/2017,2500,POINT (-74.18893 42.93896)
1270,Saratoga Springs,12866,National Grid,,4/27/2021,5908,POINT (-73.78441 43.08412)
281,Gouverneur,13642,National Grid,,4/27/2017,2500,POINT (-75.46717 44.33572)
197,Eden,14057,National Grid,,4/27/2017,5797,POINT (-78.88597 42.66683)
76,Clayton,13624,National Grid,,4/27/2017,2500,POINT (-76.08174 44.23688)
191,Rush,14543,National Grid,,4/27/2017,5861,POINT (-77.64552 42.99608)
302,Cossayuna,12823,National Grid,,4/27/2017,2500,POINT (-73.42776 43.18328)
214,North Tonawanda,14120,National Grid,,4/27/2017,2500,POINT (-78.86952 43.02968)
225,Norwich,13815,NYS Electric and Gas,,4/27/2017,2500,POINT (-75.535533 42.549221)
922,Waterville,13480,NYS Electric and Gas,,4/25/2019,2500,POINT (-75.366762 42.914366)
950,Mannsville,13661,National Grid,,4/25/2019,2500,POINT (-76.06309 43.71363)
215,Binghamton,13901,NYS Electric and Gas,,4/25/2017,2500,POINT (-75.884165 42.1586)
171,Boonville,13309,National Grid,,4/25/2017,2500,POINT (-75.33704 43.48297)
931,Hudson Falls,12839,National Grid,,4/24/2019,2500,POINT (-73.58407 43.30447)
250,Schuylerville,12871,National Grid,,4/24/2017,2497,POINT (-73.58145 43.09961)
1113,Georgetown,13072,NYS Electric and Gas,,4/23/2020,2500,POINT (-75.73769 42.76869)
1111,Cassville,13318,National Grid,,4/23/2020,3900,POINT (-75.25531 42.94592)
975,Adams,13605,National Grid,,4/23/2020,2500,POINT (-76.02364 43.81029)
979,Cortland,13045,National Grid,,4/22/2020,2500,POINT (-76.17484 42.60348)
1130,Mohawk,13407,National Grid,,4/22/2020,2500,POINT (-75.00465 43.01129)
244,Glenville,12302,National Grid,,4/2/2017,6000,POINT (-73.9324 42.86907)
248,Johnsonville,12094,National Grid,,4/21/2017,2498,POINT (-73.51399 42.91426)
80,Williamson,14589,Rochester Gas and Electric,,4/20/2017,2500,POINT (-77.175308 43.241518)
8,Ithaca,14850,NYS Electric and Gas,,4/20/2016,1500,POINT (-76.49546 42.44051)
1142,Hudson,12534,National Grid,,4/19/2021,2500,POINT (-73.79143 42.25282)
971,Richfield Springs,13439,NYS Electric and Gas,,4/19/2019,2500,POINT (-74.997512 42.853108)
726,Boonville,13309,National Grid,,4/19/2018,2500,POINT (-75.33704 43.48297)
669,Hopewell Junction,12533,Central Hudson Gas and Electric,,4/19/2018,2500,POINT (-73.80744 41.57661)
923,Carmel,10512,NYS Electric and Gas,,4/18/2019,2500,POINT (-73.696731 41.444541)
583,Forestville,14062,NYS Electric and Gas,,4/16/2018,2500,POINT (-79.17639 42.46807)
710,Gardiner,12525,Central Hudson Gas and Electric,,4/16/2018,2500,POINT (-74.177103 41.683748)
263,Newfield,14867,NYS Electric and Gas,,4/16/2017,2500,POINT (-76.607292 42.35201)
1110,West Edmeston,13485,NYS Electric and Gas,,4/14/2021,2500,POINT (-75.27863 42.76337)
221,Greenville,12083,Central Hudson Gas and Electric,,4/13/2017,984,POINT (-74.03142 42.426414)
1072,New Woodstock,13122,National Grid,,4/12/2020,4580,POINT (-75.85439 42.84827)
625,Milton,12547,Central Hudson Gas and Electric,,4/12/2018,5320,POINT (-73.976751 41.655105)
712,Hoosick Falls,12090,National Grid,,4/12/2018,2885,POINT (-73.34957 42.90196)
760,Watertown,13601,National Grid,,4/12/2018,2500,POINT (-75.91428 43.97586)
321,Saquoit,13456,National Grid,,4/12/2018,2500,POINT (-75.25833 43.00464)
650,Lyndonville,14098,National Grid,,4/12/2018,3785,POINT (-78.38875 43.3222)
1204,Cazenovia,13035,National Grid,,4/1/2021,2500,POINT (-75.84845 42.9296)
1106,Romulus,14541,NYS Electric and Gas,,4/1/2021,2500,POINT (-76.8329 42.7522)
1095,Rexville,14877,NYS Electric and Gas,,4/1/2021,2500,POINT (-77.66125 42.08494)
1151,Ithaca,14850,NYS Electric and Gas,,4/1/2020,5962,POINT (-76.49546 42.44051)
937,Watkins Glen,14891,NYS Electric and Gas,,4/11/2019,2500,POINT (-76.93086 42.374999)
901,Newfield,14867,NYS Electric and Gas,,4/11/2019,2500,POINT (-76.607292 42.35201)
949,Frankfort,13340,National Grid,,4/10/2019,2500,POINT (-75.07407 43.03638)
247,Sackets Harbor,13685,National Grid,,4/10/2017,6000,POINT (-76.1175 43.94749)
50,Aurora,13026,NYS Electric and Gas,,4/10/2017,2500,POINT (-76.664773 42.746809)
275,Essex,12936,NYS Electric and Gas,,4/10/2017,2500,POINT (-73.35138 44.30897)
180,Trumansburg,14886,NYS Electric and Gas,,4/10/2017,2500,POINT (-76.681095 42.509918)
1147,Adams Center,13606,National Grid,,3/9/2021,6000,POINT (-76.00492 43.86111)
1061,North Collins,14111,National Grid,,3/9/2021,2500,POINT (-78.94095 42.59468)
1046,Mannsville,13661,National Grid,,3/9/2021,2500,POINT (-76.06309 43.71363)
1049,Hamburg,14075,NYS Electric and Gas,,3/8/2021,2500,POINT (-78.83422 42.71624)
78,Deansboro,13328,NYS Electric and Gas,,3/8/2017,2500,POINT (-75.42937 42.9946)
928,Deansboro,13328,NYS Electric and Gas,,3/7/2019,2500,POINT (-75.42937 42.9946)
175,Boonville,13309,National Grid,,3/7/2018,6000,POINT (-75.33704 43.48297)
682,Red Hook,12571,Central Hudson Gas and Electric,,3/7/2018,5630,POINT (-73.87642 41.99418)
648,Schodack Landing,12156,National Grid,,3/7/2018,2500,POINT (-73.77006 42.47918)
911,Waterloo,13165,NYS Electric and Gas,,3/6/2019,2500,POINT (-76.876553 42.911888)
909,Cambridge,12816,NYS Electric and Gas,,3/6/2019,2500,POINT (-73.38418 43.02814)
610,Owego,13827,NYS Electric and Gas,,3/6/2018,5770,POINT (-76.252877 42.111474)
615,Marietta,13110,National Grid,,3/6/2018,2500,POINT (-76.32643 42.91266)
661,Copake,12516,NYS Electric and Gas,,3/6/2018,2500,POINT (-73.561526 42.106514)
475,Phoenix,13135,National Grid,,3/6/2018,2500,POINT (-76.29914 43.22989)
621,Campbell Hall,10916,Central Hudson Gas and Electric,,3/6/2018,2500,POINT (-74.246861 41.445409)
614,Hopewell Junction,12533,Central Hudson Gas and Electric,,3/6/2018,6000,POINT (-73.80744 41.57661)
579,Galway,12074,National Grid,,3/6/2018,2500,POINT (-74.03201 43.02173)
521,Cassville,13318,National Grid,,3/6/2018,2500,POINT (-75.25531 42.94592)
