Project ID,Project Town/City,Project ZIP Code,Electricity Utility Name,Natural Gas Utility Name,Audit Completed Date,NYSERDA Clean Energy Fund (CEF) Funding Amount (dollars),Georeference
989,Spencer,14883,NYS Electric and Gas,,9/17/2019,2500,POINT (-76.484279 42.244555)
866,Shortsville,14548,Rochester Gas and Electric,,9/17/2018,2500,POINT (-77.24468 42.976557)
1220,Warsaw,14569,National Grid,,9/16/2020,4916,POINT (-78.1332 42.74022)
1143,Ripley,14775,National Grid,,9/16/2020,3414,POINT (-79.71066 42.2668)
1027,Jamesville,13078,National Grid,,9/16/2019,3460,POINT (-76.07025 42.9916)
813,Hoosick Falls,12090,National Grid,,9/16/2018,2500,POINT (-73.34957 42.90196)
741,Warners,13164,NYS Electric and Gas,,9/16/2018,2500,POINT (-76.32931 43.0859)
823,Middleburgh,12122,National Grid,,9/16/2018,2500,POINT (-74.33441 42.59808)
672,Delmar,12054,National Grid,,9/16/2018,2705,POINT (-73.83044 42.62312)
766,Waterloo,13165,NYS Electric and Gas,,9/16/2018,2500,POINT (-76.876553 42.911888)
680,Selkirk,12158,National Grid,,9/16/2018,2500,POINT (-73.79876 42.53269)
640,Waterloo,13165,National Grid,,9/16/2018,2615,POINT (-76.876553 42.911888)
1149,Romulus,14541,NYS Electric and Gas,,9/15/2021,2500,POINT (-76.8329 42.7522)
458,Walden,12586,Central Hudson Gas and Electric,,9/14/2017,2500,POINT (-74.174903 41.563126)
1148,Romulus,14541,NYS Electric and Gas,,9/13/2021,2500,POINT (-76.8329 42.7522)
1112,Lyons,14489,NYS Electric and Gas,,9/13/2021,2500,POINT (-76.993653 43.084482)
1115,Locke,13092,NYS Electric and Gas,,9/13/2021,2500,POINT (-76.42596 42.650898)
1194,Castorland,13620,National Grid,,9/13/2020,2482,POINT (-75.51238 43.88923)
47,Canajoharie,13317,National Grid,,9/13/2016,2500,POINT (-74.57167 42.90692)
68,Rushford,14737,Rochester Gas and Electric,,9/13/2016,1308,POINT (-78.25264 42.39233)
351,North Java,14113,National Grid,,9/12/2017,2500,POINT (-78.33763 42.69403)
444,Fulton,13069,National Grid,,9/12/2017,2500,POINT (-76.41527 43.32201)
286,Frankfort,13340,National Grid,,9/12/2017,2500,POINT (-75.07407 43.03638)
1164,Scipio Center,13147,NYS Electric and Gas,,9/1/2020,5749,POINT (-76.565785 42.778874)
13,Penn Yan,14527,NYS Electric and Gas,,9/1/2016,2500,POINT (-77.062296 42.662294)
497,Gardiner,12525,Central Hudson Gas and Electric,,9/11/2017,2500,POINT (-74.177103 41.683748)
311,Cortland,13045,National Grid,,9/11/2017,2500,POINT (-76.17484 42.60348)
430,Maryland,12116,National Grid,,9/11/2017,2500,POINT (-74.93232 42.5008)
312,Cortland,13045,National Grid,,9/11/2017,2500,POINT (-76.17484 42.60348)
456,Montgomery,12549,Central Hudson Gas and Electric,,9/11/2017,2500,POINT (-74.244699 41.525344)
457,Montgomery,12549,Central Hudson Gas and Electric,,9/11/2017,2500,POINT (-74.244699 41.525344)
289,DeKalb Junction,13630,National Grid,,9/11/2017,186,POINT (-75.27263 44.50433)
467,Cape Vincent,13618,National Grid,,9/11/2017,2500,POINT (-76.33544 44.12816)
305,Genoa,13071,NYS Electric and Gas,,9/11/2017,285,POINT (-76.543317 42.674217)
405,West Winfield,13491,NYS Electric and Gas,,9/11/2017,4765,POINT (-75.19378 42.88517)
287,Canton,13617,National Grid,,9/11/2017,258,POINT (-75.16983 44.59994)
386,Attica,14011,NYS Electric and Gas,,9/10/2017,2497,POINT (-78.28106 42.86402)
28,Cayuga,13034,NYS Electric and Gas,,8/8/2016,2500,POINT (-76.699462 42.913692)
849,Peru,12972,NYS Electric and Gas,,8/7/2018,2500,POINT (-73.544857 44.560576)
843,Canton,13617,National Grid,,8/7/2018,2245,POINT (-75.16983 44.59994)
696,Spencerport,14559,Rochester Gas and Electric,,8/7/2018,2500,POINT (-77.80545 43.18626)
694,Medine,14103,National Grid,,8/7/2018,2500,POINT (-78.38691 43.22012)
689,Argyle,12809,National Grid,,8/5/2018,2500,POINT (-73.49067 43.23541)
423,Evans Mills,13637,National Grid,,8/4/2017,2500,POINT (-75.8098 44.09095)
376,Barker,14012,National Grid,,8/3/2017,5980,POINT (-78.55259 43.33009)
387,Bliss,14024,Rochester Gas and Electric,,8/3/2017,2448,POINT (-78.2584 42.59483)
339,Newark,14513,NYS Electric and Gas,,8/31/2017,5126,POINT (-77.094618 43.063468)
454,Earlville,13332,NYS Electric and Gas,,8/31/2017,2500,POINT (-75.571537 42.759935)
471,Ellenburg Depot,12935,NYS Electric and Gas,,8/31/2017,2284,POINT (-73.79423 44.90621)
1256,Lockport,14094,National Grid,,8/30/2020,2500,POINT (-78.69511 43.16926)
359,Perry,14530,NYS Electric and Gas,,8/30/2017,3650,POINT (-78.0055 42.71961)
365,Victor,14564,Rochester Gas and Electric,,8/30/2017,2500,POINT (-77.40919 42.98244)
55,Cattaraugus,14719,National Grid,,8/30/2016,2500,POINT (-78.86829 42.32925)
393,Attica,14011,National Grid,,8/28/2017,2420,POINT (-78.28106 42.86402)
24,Futtonville,12072,National Grid,,8/28/2016,6000,POINT (-74.37026 42.94801)
463,Churchville,14428,National Grid,,8/27/2017,2500,POINT (-77.88466 43.10021)
429,Ithaca,14850,NYS Electric and Gas,,8/27/2017,2500,POINT (-76.49546 42.44051)
395,Kennedy,14747,National Grid,,8/27/2017,2500,POINT (-79.10155 42.15745)
442,Churchville,14428,National Grid,,8/27/2017,2500,POINT (-77.88466 43.10021)
398,Dewittville,14728,National Grid,,8/27/2017,2495,POINT (-79.44953 42.23911)
884,Georgetown,13072,NYS Electric and Gas,,8/26/2019,2500,POINT (-75.73769 42.76869)
