FIPS,"Grocery stores (% change), 2011-16","Grocery stores/1,000 pop, 2011","Grocery stores/1,000 pop, 2016","Grocery stores/1,000 pop (% change), 2011-16","Supercenters & club stores (% change), 2011-16","Supercenters & club stores/1,000 pop, 2011","Supercenters & club stores/1,000 pop, 2016","Supercenters & club stores/1,000 pop (% change), 2011-16","Convenience stores (% change), 2011-16","Convenience stores/1,000 pop, 2011","Convenience stores/1,000 pop, 2016","Convenience stores/1,000 pop (% change), 2011-16","Specialized food stores (% change), 2011-16","Specialized food stores/1,000 pop, 2011","Specialized food stores/1,000 pop, 2016","Specialized food stores/1,000 pop (% change), 2011-16","Fast-food restaurants (% change), 2011-16","Fast-food restaurants/1,000 pop, 2011","Fast-food restaurants/1,000 pop, 2016","Fast-food restaurants/1,000 pop (% change), 2011-16","Full-service restaurants (% change), 2011-16","Full-service restaurants/1,000 pop, 2011","Full-service restaurants/1,000 pop, 2016","Full-service restaurants/1,000 pop (% change), 2011-16","Expenditures per capita, fast food, 2007*","Expenditures per capita, fast food, 2012*","Expenditures per capita, restaurants, 2007*","Expenditures per capita, restaurants, 2012*","Farms with direct sales (% change), 2007 - 12","Farms with direct sales (%), 2007","Farms with direct sales (%), 2012","Direct farm sales (%), 2007","Direct farm sales (%), 2012","Direct farm sales (% change), 2007 - 12","Direct farm sales per capita, 2007","Direct farm sales per capita, 2012","Direct farm sales per capita (% change), 2007 - 12","Farmers' markets (% change), 2013-18","Farmers' markets/1,000 pop, 2013","Farmers' markets/1,000 pop, 2018","Farmers' markets/1,000 pop (% change), 2013-18","Farms with vegetables harvested for fresh market, 2007","Farms with vegetables harvested for fresh market, 2012","Farms with vegetables harvested for fresh market (% change), 2007 - 12","Vegetable acres harvested for fresh market, 2007","Vegetable acres harvested for fresh market, 2012","Vegetable acres harvested for fresh market (% change), 2007 - 12","Vegetable acres harvested for fresh market/1,000 pop, 2007","Vegetable acres harvested for fresh market/1,000 pop, 2012","Vegetable acres harvested for fresh market/1,000 pop (% change), 2007 - 12","CSA farms (% change), 2007 - 12","Agritourism operations (% change), 2007 - 12","Agritourism receipts (% change), 2007 - 12","Farm to school program, 2013","Farm to school program, 2015","Household food insecurity (%, three-year average), 2009-11*","Household food insecurity (%, three-year average), 2012-14*","Household food insecurity (%, three-year average), 2015-17*","Household food insecurity (change %),2009-11 to 2012-15*","Household food insecurity (change %),2012-14 to 2015-17*","Household food insecurity (%, six-year average), 2009-14*","Household food insecurity (%, six-year average), 2012-17*","Household food insecurity (change %),2009-14 to 2015-17*","Household food insecurity (change %),2009-11 to 2012-17*","Model-Household food insecurity (change %),2009-14 to 2015-17*","Model-Household food insecurity (change %),2009-11 to 2012-17*","Model-Household food insecurity (change %),2012-14 to 2015-17*","BI_Model-Household food insecurity (change %),2009-14 to 2015-17*","BI_Model-Household food insecurity (change %),2009-11 to 2012-17*","BI_Model-Household food insecurity (change %),2012-14 to 2015-17*"
5069,15.38461539,0.171034628,0.213243866,24.67876725,0.0,0.0131565,0.0142163,8.05493162,2.564102564,0.513103884,0.568650308,10.82557089,-71.42857143,0.092095569,0.0284325,-69.12716239,0.0,0.763077571,0.824542947,8.05493162,-2.941176471,0.447321335,0.469136505,4.876845396,576.2104436,622.6752882,444.9218224,472.1275274,21.42857143,2.862985685,3.828828829,0.03016214,0.026014447,36.58536585,0.520383815,0.750499216,44.22032251,-50.0,0.027321657,0.014681269,-46.26508331,10.0,9.0,-10.0,88.0,38.0,-56.81818182,1.116921359,0.509267325,-54.40437044,-80.0,-11.11111111,212.8205128,0.0,0.0,19.2,15.4,13.1,-3.8,-2.3,17.3,14.25,-4.2,-4.95,Decrease,Decrease,decr,-1,-1,-1
5135,0.0,0.173721698,0.175049597,0.764383242,0.0,0.0579072,0.0583499,0.764383242,-14.28571429,0.405350628,0.350099195,-13.63052865,-100.0,0.0579072,0.0,-100.0,0.0,0.521165094,0.525148792,0.764383242,28.57142857,0.810701257,1.050297584,29.55420703,576.2104436,622.6752882,444.9218224,472.1275274,-66.66666667,3.734439834,1.388888889,0.29471455,0.05558423,-74.8502994,9.539586428,2.461033634,-74.20188335,100.0,0.05866823,0.115167566,96.30312347,10.0,7.0,-30.0,67.0,49.0,-26.86567164,3.827259225,2.871205906,-24.98010358,-100.0,0.0,68.42105263,1.0,1.0,19.2,15.4,13.1,-3.8,-2.3,17.3,14.25,-4.2,-4.95,Decrease,Decrease,decr,-1,-1,-1
6011,0.0,0.468033324,0.462000462,-1.288981289,0.0,0.0,0.0,0.0,-21.42857143,0.655246654,0.508200508,-22.44134244,66.66666667,0.140409997,0.231000231,64.51836452,-50.0,0.748853318,0.36960037,-50.64449064,10.0,0.468033324,0.508200508,8.582120582,761.4471253,642.4874575,755.5875049,750.3186458,30.43478261,2.825552826,3.836317136,0.09655708,0.01991987,-69.1689008,17.69869514,5.38137576,-69.59450559,0.0,0.094051257,0.092476994,-1.673835158,10.0,11.0,10.0,2794.0,3328.0,19.11238368,132.57414,155.732335,17.46810885,120.0,0.0,20.46783626,1.0,1.0,16.2,13.5,11.2,-2.7,-2.3,14.85,12.35,-3.65,-3.85,Decrease,Decrease,decr,-1,-1,-1
6017,0.0,0.176820003,0.171791788,-2.843690947,0.0,0.0,0.0,0.0,1.754385965,0.31496063,0.311372616,-1.139194297,-20.0,0.082884376,0.064421921,-22.27495276,13.40206186,0.535985633,0.590534272,10.17725769,22.42424242,0.911728139,1.084435664,18.94287533,761.4471253,642.4874575,755.5875049,750.3186458,21.54471545,19.40063091,22.01767305,13.8459996,6.349362441,-29.86965967,15.54357491,10.72660719,-30.99008913,25.0,0.044077862,0.052444436,18.98134995,70.0,142.0,102.8571429,88.0,212.0,140.9090909,0.495233379,1.174001407,137.060234,107.6923077,121.0526316,-54.86411973,1.0,1.0,16.2,13.5,11.2,-2.7,-2.3,14.85,12.35,-3.65,-3.85,Decrease,Decrease,decr,-1,-1,-1
6019,10.30042919,0.247777447,0.262369657,5.88924079,100.0,0.00531711,0.0102089,92.00150276,8.156028369,0.29988515,0.311372551,3.830599894,-5.194805195,0.081883534,0.074525233,-8.986300642,11.42355009,0.605087413,0.647246548,6.967445296,5.918367347,0.521077034,0.529843783,1.6824285,761.4471253,642.4874575,755.5875049,750.3186458,1.322751323,6.216082881,6.739398205,0.460254343,0.362695582,5.04950495,19.16437948,19.03213315,-0.690063217,-6.25,0.016806211,0.015084473,-10.24465179,396.0,434.0,9.595959596,73924.0,66448.0,-10.11308912,82.51063417,70.11405352,-15.02422176,-30.50847458,160.0,68.09954751,1.0,1.0,16.2,13.5,11.2,-2.7,-2.3,14.85,12.35,-3.65,-3.85,Decrease,Decrease,decr,-1,-1,-1
6023,9.090909091,0.325349936,0.351779786,8.12351468,100.0,0.00739432,0.0146575,98.22644358,-28.30188679,0.391898787,0.27849233,-28.93769004,-18.75,0.118309068,0.095273692,-19.4705073,2.105263158,0.702460089,0.710888317,1.199815933,9.230769231,0.961261175,1.040681866,8.26213457,761.4471253,642.4874575,755.5875049,750.3186458,30.96774194,18.19248826,21.82795699,0.79549398,0.865394077,47.56711409,9.030234619,13.05835802,44.60707354,-12.5,0.119041421,0.10265962,-13.76142883,64.0,171.0,167.1875,271.0,594.0,119.1881919,2.05301475,4.409701343,114.7915081,100.0,47.36842105,169.6428571,1.0,1.0,16.2,13.5,11.2,-2.7,-2.3,14.85,12.35,-3.65,-3.85,Decrease,Decrease,decr,-1,-1,-1
6029,3.314917127,0.213250515,0.211278904,-0.924551665,100.0,0.00471272,0.0090387,91.79311389,14.51612903,0.292188551,0.320872774,9.817024888,-28.57142857,0.06597806,0.0451933,-31.50245933,14.20454546,0.622078851,0.681289728,9.518226965,10.75,0.471271857,0.500516334,6.205436816,761.4471253,642.4874575,755.5875049,750.3186458,27.61904762,4.959848843,6.914344685,0.181483559,0.148537506,2.14961307,7.239060802,6.934586073,-4.205997674,-20.0,0.023186874,0.01784193,-23.05159378,125.0,145.0,16.0,63543.0,60196.0,-5.267299309,79.10432339,70.27514196,-11.1614398,0.0,145.4545455,83.67003367,1.0,1.0,16.2,13.5,11.2,-2.7,-2.3,14.85,12.35,-3.65,-3.85,Decrease,Decrease,decr,-1,-1,-1
6045,-2.127659574,0.537960557,0.525060211,-2.398009726,0.0,0.0,0.0,0.0,-2.43902439,0.469284741,0.456574096,-2.708514467,100.0,0.068675816,0.136972229,99.44754534,3.846153846,0.595190404,0.61637503,3.55930239,4.716981132,1.213272746,1.266993117,4.427724213,761.4471253,642.4874575,755.5875049,750.3186458,58.69565217,12.14788732,17.95081967,0.988497484,1.048375723,29.00826446,13.89670499,17.83551564,28.34348615,0.0,0.091872707,0.091317944,-0.603838503,59.0,141.0,138.9830508,255.0,334.0,30.98039216,2.92864444,3.81618336,30.30545149,12.0,52.38095238,-31.32733408,1.0,1.0,16.2,13.5,11.2,-2.7,-2.3,14.85,12.35,-3.65,-3.85,Decrease,Decrease,decr,-1,-1,-1
6047,21.42857143,0.21571067,0.252902804,17.24167519,50.0,0.00770395,0.0111575,44.82795171,2.666666667,0.288898219,0.286375233,-0.873313052,12.5,0.0616316,0.06694486,8.620963783,12.5984252,0.489200985,0.531839719,8.715995247,21.33333333,0.288898219,0.338443458,17.14972094,761.4471253,642.4874575,755.5875049,750.3186458,0.917431193,4.181051016,4.424778761,0.611266353,0.388977609,-18.96805897,57.31471795,44.09293016,-23.0687479,-28.5714283,0.02669738,0.018197369,-31.83837318,147.0,205.0,39.45578231,27379.0,35867.0,31.00186274,110.1593305,137.0078078,24.37240426,-50.0,191.6666667,-35.91772152,1.0,1.0,16.2,13.5,11.2,-2.7,-2.3,14.85,12.35,-3.65,-3.85,Decrease,Decrease,decr,-1,-1,-1
6053,0.0,0.265930924,0.256667041,-3.48356758,66.66666667,0.00712315,0.0114584,60.8607207,11.81818182,0.261182158,0.281875411,7.922919888,-4.347826087,0.10922163,0.10083348,-7.679934207,7.317073171,0.58409828,0.605000882,3.578610402,13.77245509,0.793044007,0.870834603,9.809114729,761.4471253,642.4874575,755.5875049,750.3186458,-7.608695652,7.673060884,7.209499576,0.125959963,0.082188517,-10.75072886,6.819492216,5.742881196,-15.78726079,-25.0,0.03746599,0.027548589,-26.47040939,201.0,209.0,3.980099502,246867.0,247332.0,0.188360534,613.5231724,579.9911359,-5.465488172,0.0,76.92307692,156.3492063,1.0,1.0,16.2,13.5,11.2,-2.7,-2.3,14.85,12.35,-3.65,-3.85,Decrease,Decrease,decr,-1,-1,-1
